regulation_id,country_id,title,title_en,category,regulation_type,content,content_en,effective_date,expiry_date,source_url,keywords,related_hs_codes,impact_level
1,1,印度尼西亚电商法,Indonesia E-Commerce Law,贸易法,法律,规范电商平台运营、消费者保护、数据隐私等,Regulates e-commerce platform operations, consumer protection, data privacy,2023-01-01,,https://example.com/id-ecommerce-law,"['电商', '平台', '消费者保护']","['8517', '8528']",high
2,1,进口商品标签要求,Import Product Labeling Requirements,贸易法,法规,所有进口商品必须使用印尼语标签,All imported products must have Indonesian language labels,2022-06-01,,https://example.com/id-labeling,"['标签', '进口', '印尼语']","['所有']",high
3,2,泰国电商税收法,Thailand E-Commerce Tax Law,税法,法律,对在线销售征收增值税和所得税,Imposes VAT and income tax on online sales,2023-04-01,,https://example.com/th-tax,"['税收', '增值税', '电商']","['所有']",high
4,2,食品进口许可证规定,Food Import License Regulations,贸易法,法规,食品进口需要获得FDA许可证,Food imports require FDA license,2022-01-01,,https://example.com/th-food,"['食品', '进口', '许可证']","['16', '17', '18', '19', '20', '21', '22']",high
5,3,越南跨境电商新规,Vietnam Cross-border E-commerce Regulations,贸易法,法规,规范跨境电商平台运营和税收,Regulates cross-border e-commerce platforms and taxation,2023-07-01,,https://example.com/vn-ecommerce,"['跨境电商', '平台', '税收']","['所有']",high
6,3,个人物品进口免税额度,Personal Goods Import Duty-Free Allowance,税法,政策,个人物品价值低于100万越南盾免税,Personal goods under 1 million VND are duty-free,2023-01-01,,https://example.com/vn-duty,"['个人物品', '免税', '进口']","['所有']",medium
7,4,马来西亚数字服务税,Malaysia Digital Services Tax,税法,法律,对数字服务征收6%服务税,6% service tax on digital services,2020-01-01,,https://example.com/my-digital-tax,"['数字服务', '服务税', '6%']","['所有']",high
8,4,清真认证要求,Halal Certification Requirements,贸易法,标准,食品和化妆品需要清真认证,Food and cosmetics require halal certification,2020-01-01,,https://example.com/my-halal,"['清真', '认证', '食品', '化妆品']","['16', '17', '33']",high
9,5,菲律宾电商平台注册法,Philippines E-commerce Platform Registration Law,贸易法,法律,电商平台必须在SEC注册,E-commerce platforms must register with SEC,2022-01-01,,https://example.com/ph-registration,"['注册', '平台', 'SEC']","['所有']",medium
10,5,进口商品原产地证明,Import Product Certificate of Origin,贸易法,法规,特定商品需要原产地证明,Certain products require certificate of origin,2021-01-01,,https://example.com/ph-origin,"['原产地', '证明', '进口']","['所有']",medium
11,6,新加坡个人数据保护法,Singapore Personal Data Protection Act,数据法,法律,严格规范个人数据收集和使用,Strictly regulates personal data collection and use,2014-07-02,,https://example.com/sg-pdpa,"['数据保护', '隐私', '个人数据']","['所有']",high
12,6,商品和服务税,Goods and Services Tax,税法,法律,对商品和服务征收9%GST,9% GST on goods and services,2024-01-01,,https://example.com/sg-gst,"['GST', '增值税', '9%']","['所有']",high
13,7,柬埔寨电商法,Cambodia E-Commerce Law,贸易法,法律,规范电商交易和电子签名,Regulates e-commerce transactions and electronic signatures,2019-11-01,,https://example.com/kh-ecommerce,"['电商', '电子签名', '交易']","['所有']",medium
14,8,老挝进口许可证制度,Laos Import License System,贸易法,法规,特定商品需要进口许可证,Certain products require import license,2020-01-01,,https://example.com/la-license,"['进口许可证', '特定商品']","['所有']",medium
15,9,缅甸外商投资法,Myanmar Foreign Investment Law,投资法,法律,规范外商投资和股权比例,Regulates foreign investment and equity ratios,2016-10-18,,https://example.com/mm-investment,"['外商投资', '股权', '投资法']","['所有']",high
16,10,文莱清真认证法,Brunei Halal Certification Law,贸易法,法律,强制要求食品和药品清真认证,Mandatory halal certification for food and medicine,2017-01-01,,https://example.com/bn-halal,"['清真', '认证', '食品', '药品']","['16', '30']",high
